#ref_rl	read_1	read_2	read_3	read_4	read_5	read_6	read_7	read_8	read_9	read_10	read_11	read_12	read_13	read_14	read_15	read_16	read_17	read_18	read_19	read_20	read_21	read_22	read_23	read_24	read_25	read_26	read_27	read_28	read_29	read_30	read_31	read_32	read_33	read_34	read_35	read_36	read_37	read_38	read_39	read_40	read_41	read_42	read_43	read_44	read_45	read_46	read_47	read_48	read_49	read_50	read_51	read_52	read_53	read_54	read_55	read_56	read_57	read_58	read_59	read_60	read_61	read_62	read_63	read_64	read_65	read_66	read_67	read_68	read_69	read_70	read_71	read_72	read_73	read_74	read_75	read_76	read_77	read_78	read_79	read_80	read_81	read_82	read_83	read_84	read_85	read_86	read_87	read_88	read_89	read_90	read_91	read_92	read_93	read_94	read_95	read_96	read_97	read_98	read_99	read_100+
12	59090	59217	58890	59216	60686	61136	62157	63111	62600	66277	150621	3626467	80351	27301	15499	14743	10129	7153	6014	4489	3291	3410	2762	2310	1731	1459	1241	1103	777	587	444	404	401	299	252	176	199	155	179	120	152	87	46	23	34	11	28	12	21	9	10	7	11	5	6	12	4	1	0	1	2	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	52997	52997	52342	52411	53609	53671	54598	56714	57205	56818	62202	145786	3024416	82920	31102	17801	16867	11803	8702	6706	5279	4079	3884	3032	2697	2008	1564	1242	1142	1001	769	816	480	399	348	272	225	222	154	132	77	71	92	41	37	59	13	33	15	11	6	3	5	1	7	2	5	2	5	6	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
14	47862	48100	46738	47075	48104	47453	48804	49784	52007	52476	53653	58454	141243	2519413	81902	32096	18352	19302	13654	9523	7379	6642	4739	4444	3691	3314	2229	1860	1474	1249	1047	804	666	588	485	410	336	228	130	175	142	80	110	67	65	51	32	34	25	16	20	15	8	4	7	13	3	4	1	6	8	2	1	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	42784	43299	41815	41246	41878	41127	41370	42938	44869	46999	48572	49631	54309	131693	2092960	78213	30372	19081	20675	13310	9960	6786	6399	4556	4801	3677	3367	2446	1974	1607	1266	1133	889	690	694	563	423	323	376	196	166	117	123	73	84	57	52	35	18	26	29	23	17	24	10	10	8	6	14	2	1	8	4	1	0	0	4	4	6	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	37443	38001	36270	35601	36051	35001	34767	35643	36798	38913	41697	42759	43822	49281	121140	1701634	68840	29839	18807	18829	11968	9563	6715	5762	4101	3923	3147	3393	2108	1984	1504	1467	1047	931	830	619	500	413	341	316	224	230	170	101	96	85	67	65	49	50	31	20	17	11	19	3	7	6	4	2	4	4	2	1	1	3	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
17	30372	31695	29791	28773	29021	28124	27340	27499	28323	29911	32642	34998	36686	37513	42588	104463	1313839	57030	24642	15530	16260	10179	8396	5388	5246	3183	3681	3156	2907	1704	1406	1345	1340	1046	753	632	537	496	373	314	257	202	164	125	101	84	68	69	55	44	22	23	18	11	11	6	9	7	1	1	3	1	10	4	1	1	1	3	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	25596	26397	24514	23633	24044	22302	21710	21502	21973	22732	24980	27011	29293	30533	32125	36196	90036	1050249	46291	20797	13874	13028	7747	6775	4111	3613	2653	2617	2437	1984	1441	1273	980	1042	743	790	614	441	481	354	255	198	151	160	157	102	85	48	59	40	28	24	23	29	9	14	7	20	2	4	1	5	4	2	2	6	2	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	21888	22594	21270	20209	20331	18798	17958	17271	17365	18149	19734	21290	23289	25916	27002	28231	32119	77913	877874	37180	18398	12520	10053	6748	5197	3168	2957	2044	2040	1907	1636	1419	968	896	779	564	491	511	373	414	323	224	146	138	129	79	61	56	34	49	15	22	15	11	6	6	9	0	3	5	12	3	1	1	0	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	18755	20004	18594	17670	17355	15892	14844	14504	13940	14338	15282	16947	18553	20543	22664	24010	25277	28653	69209	743345	30870	15333	10480	8471	5183	4369	2398	2481	1651	1578	1459	1482	1126	804	762	634	615	519	457	263	323	182	171	186	91	75	64	101	50	26	40	26	41	21	6	12	24	37	1	5	8	14	5	1	2	1	3	7	0	2	1	1	0	2	1	1	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
21	16930	18086	16524	15633	15532	14129	13250	12345	11838	11932	12818	13558	15058	16957	18848	21183	22395	22996	25541	60959	651915	26171	13311	8819	6770	3870	3649	1975	1846	1288	1345	1056	1158	913	592	536	583	415	272	289	228	315	170	176	94	71	92	35	46	70	40	21	23	32	14	19	8	17	15	13	3	4	2	0	4	1	1	7	1	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
