#ref_rl	read_1	read_2	read_3	read_4	read_5	read_6	read_7	read_8	read_9	read_10	read_11	read_12	read_13	read_14	read_15	read_16	read_17	read_18	read_19	read_20	read_21	read_22	read_23	read_24	read_25	read_26	read_27	read_28	read_29	read_30	read_31	read_32	read_33	read_34	read_35	read_36	read_37	read_38	read_39	read_40	read_41	read_42	read_43	read_44	read_45	read_46	read_47	read_48	read_49	read_50	read_51	read_52	read_53	read_54	read_55	read_56	read_57	read_58	read_59	read_60	read_61	read_62	read_63	read_64	read_65	read_66	read_67	read_68	read_69	read_70	read_71	read_72	read_73	read_74	read_75	read_76	read_77	read_78	read_79	read_80	read_81	read_82	read_83	read_84	read_85	read_86	read_87	read_88	read_89	read_90	read_91	read_92	read_93	read_94	read_95	read_96	read_97	read_98	read_99	read_100+
14	657	567	518	508	489	467	457	445	425	454	550	3074	164274	901467	150230	8189	726	114	46	30	17	8	5	6	1	2	3	1	0	1	0	0	0	1	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	578	534	543	440	398	444	410	410	394	372	405	455	3359	154500	767642	151009	9587	878	158	47	22	20	8	7	12	17	5	5	1	2	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	537	439	453	388	355	384	309	323	355	316	329	356	446	3607	140087	638820	142483	10475	1038	179	47	17	13	6	4	4	3	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	419	357	354	311	294	288	327	267	290	268	264	269	297	390	3761	117708	494538	124814	10580	1073	189	57	16	21	8	8	4	3	1	1	2	0	0	0	1	1	0	0	0	0	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	341	259	294	226	249	242	200	221	225	222	241	219	231	227	323	3684	98158	387697	108825	10111	1104	190	46	16	9	8	3	1	0	2	0	3	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	293	211	251	223	199	220	178	173	174	177	193	188	204	188	186	312	3713	85496	315233	96020	9584	1104	189	41	22	11	7	6	3	3	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	262	196	193	166	181	153	159	145	193	143	148	158	179	139	168	166	277	3657	74112	259290	84746	9681	1128	224	59	20	10	7	5	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	244	179	179	155	153	138	138	140	145	137	135	117	131	139	129	141	143	284	3694	66661	221423	78292	9944	1187	222	60	10	7	1	5	2	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	241	147	166	151	149	130	121	124	122	122	132	119	137	115	135	131	119	133	249	3924	61032	195255	73907	10327	1325	227	73	21	19	8	2	2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	228	121	165	177	117	123	115	100	105	104	94	97	114	97	108	107	98	128	115	291	4233	54755	168693	68863	10915	1525	265	79	24	13	5	7	0	5	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	157	115	125	107	81	94	103	119	75	85	78	91	73	87	62	85	90	91	79	88	270	4129	46329	137162	59090	10259	1526	293	68	32	15	6	4	5	2	0	1	0	1	0	1	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	120	101	92	99	83	84	80	84	71	62	63	64	55	71	74	56	99	89	80	78	91	289	4269	39481	111138	50451	9571	1414	291	77	26	12	10	3	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
26	129	65	79	70	65	63	79	68	69	47	66	63	50	59	55	41	57	62	55	61	48	58	282	4071	32161	84682	39585	8258	1351	264	69	35	11	6	1	2	3	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	94	68	53	56	59	65	59	57	56	47	46	37	45	49	38	34	42	58	59	48	47	55	58	286	3725	25394	64234	30890	6823	1205	250	53	24	13	1	4	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	102	41	39	49	49	41	40	35	33	25	29	38	33	24	28	34	39	34	36	28	39	38	45	52	259	3454	20938	51526	24856	5979	1044	201	75	16	4	4	4	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	79	55	43	30	54	30	35	35	24	31	31	40	31	34	36	21	28	30	25	26	26	36	39	46	41	235	3129	17155	39568	19270	4895	882	178	52	19	7	6	2	3	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	67	23	39	24	25	23	30	26	20	15	28	23	16	21	16	25	15	11	16	13	17	22	26	45	73	66	229	2674	12634	27728	13564	3560	657	144	41	19	6	2	4	0	0	0	0	0	1	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	64	10	11	16	24	31	15	11	16	17	9	14	10	12	18	12	14	22	18	20	12	13	9	16	26	25	33	193	2096	9243	18771	9161	2616	545	119	48	13	7	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	54	14	8	13	6	7	8	14	12	14	6	14	14	16	9	9	11	11	10	10	11	6	16	14	6	6	15	23	166	1508	6121	12508	6143	1869	388	110	24	11	4	3	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	2	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
33	80	12	14	12	10	9	8	9	11	6	9	5	5	6	9	4	4	4	14	16	15	8	9	7	6	6	9	11	21	150	1340	4772	9241	4489	1341	281	66	20	9	2	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	41	2	6	11	7	5	4	3	8	6	5	2	4	3	3	3	6	5	4	5	3	1	4	6	11	2	9	4	5	8	112	942	3232	6139	2962	997	221	44	21	5	4	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
