#ref_rl	read_1	read_2	read_3	read_4	read_5	read_6	read_7	read_8	read_9	read_10	read_11	read_12	read_13	read_14	read_15	read_16	read_17	read_18	read_19	read_20	read_21	read_22	read_23	read_24	read_25	read_26	read_27	read_28	read_29	read_30	read_31	read_32	read_33	read_34	read_35	read_36	read_37	read_38	read_39	read_40	read_41	read_42	read_43	read_44	read_45	read_46	read_47	read_48	read_49	read_50	read_51	read_52	read_53	read_54	read_55	read_56	read_57	read_58	read_59	read_60	read_61	read_62	read_63	read_64	read_65	read_66	read_67	read_68	read_69	read_70	read_71	read_72	read_73	read_74	read_75	read_76	read_77	read_78	read_79	read_80	read_81	read_82	read_83	read_84	read_85	read_86	read_87	read_88	read_89	read_90	read_91	read_92	read_93	read_94	read_95	read_96	read_97	read_98	read_99	read_100+
16	525	403	402	378	350	349	388	351	325	328	338	341	431	3190	125353	629503	162744	13006	1396	225	56	26	18	7	2	7	3	3	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
17	378	322	324	300	288	254	254	277	256	272	268	263	301	365	3293	105220	486547	142175	13352	1473	230	57	26	17	12	8	4	0	1	1	3	0	0	1	0	0	0	1	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	315	269	244	258	226	216	195	239	218	217	227	213	228	231	326	3201	87408	380673	122797	12437	1391	242	79	25	13	6	2	4	4	0	3	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	279	239	237	204	221	180	225	172	181	191	167	205	210	199	204	315	3164	75110	308954	108296	12106	1341	240	61	19	9	7	5	3	2	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	277	177	195	183	155	176	163	150	169	146	135	134	173	165	152	179	287	3272	64952	253854	96602	11932	1510	238	55	20	6	8	4	2	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	237	171	157	160	142	131	151	151	120	127	127	117	165	129	132	154	140	267	3219	58746	216802	88866	12094	1630	291	72	26	10	6	2	3	4	3	2	1	0	2	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	213	161	152	127	151	113	143	110	98	140	112	127	130	108	126	136	136	153	256	3373	54219	188980	83179	12708	1658	333	76	21	17	6	7	6	3	2	0	3	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	211	126	135	137	110	115	105	98	125	91	109	94	109	105	102	98	103	99	121	296	3764	48336	163770	77178	13355	1856	322	111	43	14	8	4	8	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	160	110	103	96	108	120	112	109	81	91	88	79	82	112	94	89	98	93	96	119	263	3618	41183	133276	66377	12587	1867	397	91	39	11	9	5	5	0	3	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	123	84	84	95	91	90	64	71	67	70	42	77	82	64	78	70	84	75	81	90	98	250	3703	34657	107740	56021	11488	1802	397	97	39	10	13	4	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	125	63	72	70	69	67	59	69	60	51	57	62	59	59	67	60	59	63	60	64	59	70	240	3418	28065	81915	44124	9931	1673	323	81	35	7	8	4	2	2	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	91	55	54	49	50	49	56	51	44	45	34	45	39	50	35	45	39	48	55	53	55	51	66	256	3372	22559	62508	33942	8263	1419	321	85	29	12	5	3	2	1	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	98	57	37	45	34	42	46	31	37	40	30	28	54	29	51	36	24	40	49	46	48	39	47	55	247	3061	18755	49561	27374	7139	1252	283	78	28	14	3	3	3	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	79	34	40	36	54	36	28	29	28	24	26	28	36	31	23	32	24	32	25	32	31	40	40	48	60	261	2820	15258	38463	21346	5835	1122	211	66	24	11	2	3	0	2	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	71	27	28	23	26	13	26	20	17	18	17	24	13	10	20	17	12	24	19	19	13	24	20	38	56	54	211	2246	11441	27194	15053	4357	857	169	50	18	16	5	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	41	21	16	18	17	37	17	11	13	16	18	10	17	13	13	14	16	21	15	19	9	16	17	16	21	28	30	179	1905	8035	18676	10167	3161	594	118	42	13	10	6	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	56	8	17	12	10	17	16	9	10	9	5	13	5	5	10	10	13	7	6	8	6	15	11	9	7	6	16	20	118	1367	5661	12203	6645	2134	504	110	26	7	5	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	65	16	9	12	10	10	7	7	13	12	8	6	7	3	11	4	6	5	14	18	9	10	15	10	5	9	8	13	14	142	1186	4438	9183	4866	1672	374	96	31	8	1	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	37	5	8	18	8	6	6	3	3	6	4	4	5	4	2	4	3	7	8	3	7	5	8	7	1	7	7	6	7	16	89	814	2887	6079	3306	1206	289	70	14	5	5	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	40	10	6	5	5	3	8	4	5	6	3	1	5	5	5	7	2	5	5	4	3	4	1	8	14	14	8	6	11	15	17	91	731	2893	5882	3241	1207	326	58	25	11	5	2	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	38	4	6	5	5	5	3	7	1	4	0	6	2	4	4	3	2	4	3	0	7	5	5	3	3	5	6	6	5	6	4	17	98	664	2373	5069	2709	1011	291	65	20	10	5	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	28	10	5	8	7	5	6	2	4	4	6	4	0	2	1	2	6	5	3	2	3	3	6	6	6	8	4	4	1	6	2	8	11	77	724	2497	5010	2883	1132	331	79	24	8	9	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	8	7	6	4	5	7	13	3	4	6	1	3	9	6	1	4	4	7	2	9	6	6	5	4	7	2	3	4	4	5	5	3	3	12	89	832	2579	4886	2626	1102	335	76	21	7	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	21	5	6	5	6	5	2	3	6	5	10	3	6	4	7	4	2	1	2	7	3	3	3	4	5	4	3	10	4	5	0	3	4	5	8	109	696	2203	4237	2305	999	253	76	24	10	5	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	11	2	7	3	3	5	1	2	5	0	5	3	3	3	2	4	5	5	3	2	4	5	1	1	5	3	1	1	5	0	6	4	5	4	6	13	112	712	2022	3632	1939	828	254	68	20	9	9	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	10	4	4	4	7	3	4	2	4	2	1	5	4	3	2	4	3	4	2	2	3	2	1	4	5	1	1	7	1	5	3	2	4	3	1	5	10	86	561	1758	2919	1499	668	179	47	18	9	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	9	4	4	5	2	0	5	4	0	0	2	3	2	6	1	0	7	2	5	3	2	4	3	1	1	0	2	4	2	2	3	2	3	3	2	2	3	13	69	425	1140	2056	1083	504	129	32	10	4	2	3	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	2	3	2	1	1	0	3	2	1	0	0	1	5	3	2	4	1	0	1	2	3	1	0	0	4	3	2	2	5	9	3	1	0	0	2	0	2	3	3	37	282	813	1376	785	300	124	30	10	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	2	1	1	0	2	4	1	2	0	0	0	2	4	1	1	1	3	1	0	2	0	2	0	1	0	1	0	2	1	1	1	2	1	0	1	1	0	3	1	11	46	280	619	1024	567	278	85	23	8	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	2	0	2	0	3	0	0	2	1	1	1	0	4	0	1	1	0	2	0	2	1	0	1	2	0	2	0	1	1	0	1	1	2	1	2	0	1	2	3	7	3	44	202	535	879	508	261	83	33	10	8	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	2	1	0	1	1	3	2	2	1	0	0	3	1	3	0	1	3	0	2	0	1	2	0	1	0	0	1	2	0	3	1	1	1	1	1	2	4	0	1	0	1	5	29	205	527	912	520	243	77	27	3	3	2	2	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	6	2	3	0	1	0	1	0	0	0	2	2	0	0	1	1	0	2	1	5	2	0	2	1	1	1	3	1	1	3	2	3	5	1	2	1	0	3	2	1	1	1	8	52	221	577	929	466	224	93	22	8	4	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	3	0	0	0	1	1	1	2	0	3	0	1	1	0	0	1	1	1	0	2	0	0	1	0	0	0	0	0	2	0	0	1	0	4	1	0	0	0	1	1	0	1	2	4	39	144	402	643	398	176	69	18	6	6	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	3	1	1	1	2	1	1	0	0	0	1	2	1	1	0	0	0	0	0	0	0	1	1	1	1	1	2	0	0	1	0	0	1	1	2	0	0	1	3	0	0	1	0	0	7	26	140	395	589	377	168	66	18	7	3	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	0	1	1	0	0	0	0	3	0	0	0	2	1	0	1	0	0	1	1	0	0	0	3	13	6	3	1	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	1	1	6	29	108	274	411	255	126	35	20	8	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	4	1	1	1	0	2	1	0	2	0	1	1	0	2	0	2	0	0	1	0	0	0	0	2	0	2	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	1	1	1	1	1	6	30	163	291	481	282	146	52	10	7	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	1	0	1	2	8	1	0	1	0	1	2	0	0	1	0	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	5	18	76	202	315	201	82	26	15	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	1	0	0	0	0	0	0	5	21	55	131	185	125	72	25	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	5	0	0	1	1	0	1	0	1	0	0	0	1	1	0	1	0	1	0	1	0	0	1	0	0	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	4	14	88	182	294	198	97	44	22	1	3	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
